block,trial,s1_state,direction,response,rt,pair
0,0,True,left,left,1.2537038326,719882
0,1,True,left,right,0.9750249386,719882
0,2,False,left,right,1.4482591152,719882
0,3,True,right,right,0.7318680286,719882
0,4,True,right,right,0.8509328365,719882
0,5,False,right,right,1.0489721298,719882
0,6,False,left,left,1.1550228596,719882
0,7,True,left,right,0.8498649597,719882
0,8,False,right,left,0.9195859432,719882
0,9,False,right,right,0.9372639656,719882
0,10,False,right,right,0.6800551414,719882
0,11,False,right,right,0.7111749649,719882
0,12,True,right,right,0.7124330997,719882
0,13,True,right,right,0.724396944,719882
0,14,True,right,right,1.3145279884,719882
0,15,True,right,right,0.9648561478,719882
0,16,False,left,left,0.868324995,719882
0,17,True,left,left,0.8231589794,719882
0,18,False,right,right,0.7471971512,719882
0,19,False,left,left,0.9218969345,719882
0,20,True,right,right,0.6614718437,719882
0,21,False,right,right,0.9399931431,719882
0,22,True,left,left,1.3146829605,719882
0,23,True,right,right,0.7572607994,719882
0,24,False,left,right,1.7614059448,719882
0,25,False,right,right,0.6609680653,719882
0,26,False,right,right,0.9667229652,719882
0,27,True,right,right,0.7135009766,719882
0,28,False,left,left,0.6018049717,719882
0,29,False,left,right,0.8150520325,719882
0,30,False,left,left,0.6618390083,719882
0,31,False,left,right,0.708963871,719882
0,32,False,right,right,0.6494431496,719882
0,33,True,right,right,0.7782800198,719882
0,34,True,left,left,1.1472680569,719882
0,35,False,left,right,0.8744418621,719882
0,36,True,right,right,0.97073102,719882
0,37,False,right,left,0.8672120571,719882
0,38,True,right,right,0.9480779171,719882
0,39,False,right,right,1.293307066,719882
0,40,True,right,right,1.0002110004,719882
0,41,False,right,right,0.9882349968,719882
0,42,True,left,left,1.098582983,719882
0,43,False,right,right,0.91760993,719882
0,44,False,right,right,1.0198428631,719882
0,45,True,left,left,1.2763428688,719882
0,46,False,left,right,0.727976799,719882
0,47,True,left,left,1.2687418461,719882
0,48,True,left,right,1.3134241104,719882
0,49,False,left,left,0.7300028801,719882
0,50,True,right,right,1.1511318684,719882
0,51,True,right,right,1.1387808323,719882
0,52,True,left,left,1.201832056,719882
0,53,False,left,left,1.0644831657,719882
0,54,False,right,right,0.6745188236,719882
0,55,True,left,left,0.9148068428,719882
0,56,False,left,left,1.0695650578,719882
0,57,False,left,right,0.874363184,719882
0,58,False,left,left,0.9083969593,719882
0,59,False,right,right,0.8064539433,719882
0,60,True,left,left,1.1561799049,719882
0,61,True,left,left,1.5350511074,719882
0,62,False,right,right,0.7442469597,719882
0,63,True,left,left,1.3565130234,719882
0,64,False,right,right,0.6405830383,719882
0,65,True,left,left,1.0308480263,719882
0,66,False,left,left,1.7502310276,719882
0,67,True,left,left,1.4464609623,719882
0,68,True,left,left,1.550896883,719882
0,69,True,right,right,0.9737968445,719882
0,70,False,right,left,1.0609099865,719882
0,71,False,right,right,0.8029530048,719882
0,72,False,left,left,0.668405056,719882
0,73,True,left,right,1.1283390522,719882
0,74,True,left,left,1.1805779934,719882
0,75,False,right,right,0.971902132,719882
0,76,False,right,right,0.7143650055,719882
0,77,True,left,right,1.0597629547,719882
0,78,False,right,right,1.2662789822,719882
0,79,True,left,left,1.1817579269,719882
0,80,False,left,left,0.8336591721,719882
0,81,False,right,right,0.6064069271,719882
0,82,False,left,left,0.9852919579,719882
0,83,True,left,left,0.9502439499,719882
0,84,False,left,right,1.3543350697,719882
0,85,False,right,right,0.6057949066,719882
0,86,True,right,right,0.9579558372,719882
0,87,True,left,right,1.2760128975,719882
0,88,False,left,left,1.161741972,719882
0,89,True,right,right,1.1889660358,719882
0,90,True,right,right,1.3420159817,719882
0,91,True,right,left,1.1067900658,719882
0,92,True,right,right,0.902755022,719882
0,93,False,right,left,0.9412410259,719882
0,94,False,left,left,0.6793560982,719882
0,95,False,right,right,0.6070158482,719882
0,96,False,right,right,0.7606921196,719882
0,97,True,left,left,0.9922661781,719882
0,98,False,left,right,0.8684239388,719882
0,99,False,left,right,0.834125042,719882
1,0,True,right,right,0.974809885,719882
1,1,False,right,right,1.1782150269,719882
1,2,False,left,right,0.8140130043,719882
1,3,True,right,right,0.7783529758,719882
1,4,True,right,right,1.0912008286,719882
1,5,False,left,left,0.7117648125,719882
1,6,False,left,left,0.8630042076,719882
1,7,False,left,left,0.8144490719,719882
1,8,False,left,left,0.8327000141,719882
1,9,False,left,right,0.7773771286,719882
1,10,True,right,left,1.3367981911,719882
1,11,True,left,left,1.1694121361,719882
1,12,True,right,right,0.8540120125,719882
1,13,False,left,left,0.6921207905,719882
1,14,False,right,right,0.6962740421,719882
1,15,True,left,left,1.1595330238,719882
1,16,True,left,right,1.3560049534,719882
1,17,False,right,right,0.9760429859,719882
1,18,False,left,left,0.8556859493,719882
1,19,False,right,right,0.6721220016,719882
1,20,True,right,right,0.8745429516,719882
1,21,False,left,left,0.7517309189,719882
1,22,False,left,right,0.7807180882,719882
1,23,True,right,right,0.9057779312,719882
1,24,True,right,right,1.0808448792,719882
1,25,True,left,left,0.8943119049,719882
1,26,True,left,left,1.3240220547,719882
1,27,False,right,right,0.7311627865,719882
1,28,True,left,left,1.1340548992,719882
1,29,False,left,left,1.3759901524,719882
1,30,True,left,left,1.2258141041,719882
1,31,False,right,right,0.530714035,719882
1,32,False,left,left,0.7176840305,719882
1,33,True,right,right,0.5961580276,719882
1,34,False,left,left,0.9285361767,719882
1,35,False,right,right,0.6652259827,719882
1,36,False,right,right,0.8917148113,719882
1,37,True,left,left,1.1448249817,719882
1,38,False,left,right,1.1393101215,719882
1,39,False,right,right,0.9019641876,719882
1,40,False,right,right,0.8484919071,719882
1,41,False,right,right,0.7812850475,719882
1,42,False,right,right,0.8349299431,719882
1,43,True,right,right,1.2482440472,719882
1,44,False,right,right,0.8076632023,719882
1,45,True,right,left,1.2679300308,719882
1,46,False,left,left,0.8323819637,719882
1,47,False,left,left,0.9678649902,719882
1,48,True,right,right,0.9591290951,719882
1,49,True,right,right,1.9246079922,719882
1,50,False,left,left,0.6058380604,719882
1,51,False,left,left,0.830080986,719882
1,52,False,left,left,0.8265938759,719882
1,53,False,left,left,0.8329150677,719882
1,54,True,right,right,0.8470249176,719882
1,55,True,left,left,1.1708340645,719882
1,56,True,right,left,1.5020251274,719882
1,57,True,right,right,0.9467539787,719882
1,58,False,right,right,0.8951489925,719882
1,59,True,left,left,0.8535120487,719882
1,60,False,right,right,0.5652480125,719882
1,61,True,left,left,1.0084969997,719882
1,62,False,left,right,1.1144480705,719882
1,63,False,right,right,0.7008280754,719882
1,64,False,right,right,0.6847400665,719882
1,65,False,left,left,0.6189110279,719882
1,66,False,right,right,0.6373360157,719882
1,67,False,right,left,0.840898037,719882
1,68,False,left,right,0.8741600513,719882
1,69,True,left,right,0.8584470749,719882
1,70,True,left,left,0.8214020729,719882
1,71,False,right,right,0.6554899216,719882
1,72,False,left,left,0.6853818893,719882
1,73,True,left,left,1.0859367847,719882
1,74,True,right,right,0.9661889076,719882
1,75,True,left,left,0.7508239746,719882
1,76,True,left,left,1.0372021198,719882
1,77,False,right,right,0.6775901318,719882
1,78,True,right,right,0.8658661842,719882
1,79,False,right,right,1.1297450066,719882
1,80,False,left,left,0.8183140755,719882
1,81,False,left,left,0.7496500015,719882
1,82,True,right,right,0.8506700993,719882
1,83,True,right,right,0.9661970139,719882
1,84,True,left,left,0.9939038754,719882
1,85,True,left,right,0.9012658596,719882
1,86,True,left,right,1.1784760952,719882
1,87,True,right,right,0.9214220047,719882
1,88,False,right,left,1.1679410934,719882
1,89,True,left,left,1.5292730331,719882
1,90,True,right,right,1.2105607986,719882
1,91,False,right,right,1.1184370518,719882
1,92,True,left,right,0.942471981,719882
1,93,False,right,right,0.5902659893,719882
1,94,True,right,right,0.9138388634,719882
1,95,False,left,left,0.8675038815,719882
1,96,True,right,right,0.8651270866,719882
1,97,True,left,left,1.224711895,719882
1,98,True,right,right,1.0427439213,719882
1,99,True,left,right,1.2790589333,719882
2,0,False,right,right,1.1805391312,719882
2,1,False,right,right,1.4035429955,719882
2,2,False,left,left,0.7646620274,719882
2,3,True,right,right,0.6329569817,719882
2,4,False,right,right,1.1107728481,719882
2,5,False,right,left,1.0107591152,719882
2,6,True,right,right,1.0839569569,719882
2,7,False,left,left,0.7716400623,719882
2,8,True,left,left,1.0317919254,719882
2,9,True,right,right,1.0089149475,719882
2,10,False,right,left,0.746199131,719882
2,11,False,left,right,0.7119150162,719882
2,12,True,left,left,0.9011111259,719882
2,13,True,left,left,1.1397259235,719882
2,14,True,left,right,1.3039720058,719882
2,15,True,left,left,1.3594679832,719882
2,16,True,left,left,1.1476948261,719882
2,17,True,left,left,1.2668840885,719882
2,18,True,left,right,1.2741668224,719882
2,19,False,right,right,0.6611759663,719882
2,20,True,left,right,1.0810890198,719882
2,21,False,left,left,0.8372859955,719882
2,22,False,right,right,0.691865921,719882
2,23,False,left,left,0.9004209042,719882
2,24,False,left,right,0.8516409397,719882
2,25,False,left,left,1.3924438953,719882
2,26,False,left,left,0.9357869625,719882
2,27,False,right,right,0.7184638977,719882
2,28,False,right,right,0.5969469547,719882
2,29,True,left,left,0.8802928925,719882
2,30,True,left,left,1.3611338139,719882
2,31,False,left,left,1.6426010132,719882
2,32,True,left,left,1.5004110336,719882
2,33,True,left,right,1.075083971,719882
2,34,True,left,left,1.1298680305,719882
2,35,True,right,right,0.983741045,719882
2,36,False,right,left,0.8942379951,719882
2,37,True,right,right,1.119328022,719882
2,38,True,right,right,0.9834630489,719882
2,39,False,left,left,0.8931679726,719882
2,40,False,right,right,0.7100410461,719882
2,41,True,left,left,0.9548969269,719882
2,42,False,left,left,0.9146430492,719882
2,43,True,right,right,0.9884810448,719882
2,44,True,left,left,1.2415239811,719882
2,45,True,right,right,1.1185019016,719882
2,46,True,left,left,1.4707400799,719882
2,47,False,right,right,0.6667129993,719882
2,48,True,right,right,1.1348199844,719882
2,49,False,left,left,1.2299509048,719882
2,50,True,left,left,1.1987659931,719882
2,51,False,left,left,0.8359348774,719882
2,52,False,right,right,0.9159801006,719882
2,53,False,right,right,0.6877818108,719882
2,54,False,right,right,0.6775290966,719882
2,55,False,right,left,1.1182439327,719882
2,56,False,left,left,0.9998109341,719882
2,57,True,right,right,1.0225019455,719882
2,58,True,right,right,1.1340918541,719882
2,59,False,left,left,0.7831878662,719882
2,60,False,right,right,0.642127037,719882
2,61,True,right,left,1.3057730198,719882
2,62,True,right,right,0.6435730457,719882
2,63,True,left,left,0.9516179562,719882
2,64,True,left,left,1.020606041,719882
2,65,False,right,right,1.0435180664,719882
2,66,True,right,right,1.2137949467,719882
2,67,True,left,left,1.3186872005,719882
2,68,False,left,left,1.7047190666,719882
2,69,True,right,right,0.9702248573,719882
2,70,True,right,right,1.297221899,719882
2,71,True,left,left,1.2289090157,719882
2,72,False,left,left,2.6246562004,719882
2,73,False,left,left,1.2572979927,719882
2,74,True,left,right,1.161449194,719882
2,75,False,right,right,0.7289991379,719882
2,76,False,left,left,1.0258829594,719882
2,77,False,right,right,0.6593968868,719882
2,78,True,right,left,1.0532400608,719882
2,79,True,right,right,0.7718930244,719882
2,80,True,right,right,0.9257237911,719882
2,81,False,right,left,1.3528599739,719882
2,82,True,right,right,0.799669981,719882
2,83,True,left,right,1.1727969646,719882
2,84,False,left,left,0.9550089836,719882
2,85,False,right,right,0.7413330078,719882
2,86,True,left,left,0.8896529675,719882
2,87,False,left,left,0.6297278404,719882
2,88,False,left,left,0.8312940598,719882
2,89,False,right,right,0.5932569504,719882
2,90,False,right,right,0.6702098846,719882
2,91,True,right,left,1.2257790565,719882
2,92,False,left,left,0.9597020149,719882
2,93,True,right,right,1.0141689777,719882
2,94,True,left,left,1.5627930164,719882
2,95,False,right,right,0.6880249977,719882
2,96,True,left,left,0.8102459908,719882
2,97,False,right,left,1.0182509422,719882
2,98,False,right,right,0.827819109,719882
2,99,True,right,left,1.0647959709,719882
3,0,False,left,right,1.8333499432,719882
3,1,True,left,right,1.2656841278,719882
3,2,True,left,left,1.0595920086,719882
3,3,True,left,right,0.7363488674,719882
3,4,True,left,left,0.997081995,719882
3,5,False,left,right,0.980191946,719882
3,6,False,left,left,0.9779670238,719882
3,7,False,left,left,0.7741119862,719882
3,8,True,right,right,0.6487760544,719882
3,9,True,right,right,0.8041539192,719882
3,10,False,right,right,0.9009819031,719882
3,11,False,left,left,0.8141422272,719882
3,12,False,left,left,0.8995521069,719882
3,13,True,left,left,0.9918529987,719882
3,14,False,left,left,1.3494369984,719882
3,15,False,right,right,0.5923919678,719882
3,16,True,left,left,1.0838549137,719882
3,17,False,left,right,0.9948348999,719882
3,18,True,right,right,0.9118621349,719882
3,19,False,left,left,0.7756271362,719882
3,20,True,right,right,0.9365589619,719882
3,21,False,right,right,0.8200399876,719882
3,22,False,left,left,1.1284418106,719882
3,23,False,left,right,1.4395799637,719882
3,24,True,left,left,1.0785751343,719882
3,25,True,left,left,1.2269039154,719882
3,26,True,left,left,1.3247931004,719882
3,27,False,left,right,0.8473789692,719882
3,28,False,right,right,0.7941081524,719882
3,29,True,right,right,0.7868139744,719882
3,30,False,right,right,1.2286469936,719882
3,31,False,right,right,0.797814846,719882
3,32,True,right,right,0.9551529884,719882
3,33,False,left,left,0.757488966,719882
3,34,True,left,left,1.1687781811,719882
3,35,True,right,right,0.9052419662,719882
3,36,True,right,right,0.9450831413,719882
3,37,True,left,left,1.088545084,719882
3,38,False,left,left,0.701679945,719882
3,39,True,right,right,0.7283160686,719882
3,40,True,right,right,0.740170002,719882
3,41,True,right,left,1.3408238888,719882
3,42,True,right,right,0.7390301228,719882
3,43,True,right,right,0.8111820221,719882
3,44,False,right,right,0.7687649727,719882
3,45,False,right,right,0.5844480991,719882
3,46,True,right,right,0.831195116,719882
3,47,False,right,right,0.6690280437,719882
3,48,False,left,left,0.9445860386,719882
3,49,False,left,right,0.7040729523,719882
3,50,True,left,left,0.9860289097,719882
3,51,False,right,right,0.8998739719,719882
3,52,False,left,left,0.8409738541,719882
3,53,True,left,left,1.0155308247,719882
3,54,True,left,left,1.2273440361,719882
3,55,False,left,left,0.9709498882,719882
3,56,True,right,right,1.0003550053,719882
3,57,True,right,right,0.9492928982,719882
3,58,True,left,left,0.9688978195,719882
3,59,False,right,right,0.7492818832,719882
3,60,True,left,left,1.1929960251,719882
3,61,True,left,right,0.8718650341,719882
3,62,True,right,right,0.9112920761,719882
3,63,True,right,right,0.9389328957,719882
3,64,False,right,right,0.8451609612,719882
3,65,True,right,right,1.2205638885,719882
3,66,True,left,left,0.9319210052,719882
3,67,True,right,right,0.9987180233,719882
3,68,False,right,right,0.7809808254,719882
3,69,False,left,left,1.0383419991,719882
3,70,False,right,right,0.945109129,719882
3,71,False,left,left,1.242898941,719882
3,72,False,right,right,0.6136410236,719882
3,73,False,right,right,0.719727993,719882
3,74,True,left,left,1.1189661026,719882
3,75,False,right,right,0.7742700577,719882
3,76,False,left,right,1.0532519817,719882
3,77,False,left,left,0.7516300678,719882
3,78,True,left,left,1.1168351173,719882
3,79,True,right,right,0.7119150162,719882
3,80,False,left,right,0.9978320599,719882
3,81,True,left,left,1.2347528934,719882
3,82,True,right,right,0.8191699982,719882
3,83,False,right,right,0.7926878929,719882
3,84,True,left,left,0.9477500916,719882
3,85,False,left,left,0.6302001476,719882
3,86,False,right,right,0.8270797729,719882
3,87,True,right,right,1.0788669586,719882
3,88,False,left,left,1.1307508945,719882
3,89,False,right,right,0.8039519787,719882
3,90,True,right,right,1.3093421459,719882
3,91,False,left,left,0.8795449734,719882
3,92,False,left,left,0.8245859146,719882
3,93,False,right,right,0.6500821114,719882
3,94,True,right,right,1.2584369183,719882
3,95,True,right,right,1.0696210861,719882
3,96,False,right,right,0.8165729046,719882
3,97,True,left,left,0.9211652279,719882
3,98,True,right,right,0.6983270645,719882
3,99,True,right,right,0.8800160885,719882
4,0,True,left,left,0.9796581268,719882
4,1,True,right,right,0.9914360046,719882
4,2,True,right,right,0.7949109077,719882
4,3,True,right,right,0.8064899445,719882
4,4,False,left,left,0.8480918407,719882
4,5,True,left,right,1.1905782223,719882
4,6,False,right,right,0.8117508888,719882
4,7,True,left,left,1.1886069775,719882
4,8,True,left,left,1.3668198586,719882
4,9,False,right,right,0.8008549213,719882
4,10,False,left,left,0.8031079769,719882
4,11,True,right,right,0.7402248383,719882
4,12,True,left,right,1.0144591331,719882
4,13,False,left,left,1.1407620907,719882
4,14,False,right,right,0.9221990108,719882
4,15,False,right,right,0.7209739685,719882
4,16,True,right,right,1.0003480911,719882
4,17,True,right,right,0.9815070629,719882
4,18,False,left,right,1.1936662197,719882
4,19,True,left,left,1.4331681728,719882
4,20,True,left,left,1.6954500675,719882
4,21,True,left,left,1.0285730362,719882
4,22,True,left,right,1.1002080441,719882
4,23,True,right,right,0.9242079258,719882
4,24,True,right,right,0.6978619099,719882
4,25,True,left,right,1.071228981,719882
4,26,True,left,left,0.9067099094,719882
4,27,True,right,right,0.7462308407,719882
4,28,True,right,right,0.8074650764,719882
4,29,True,left,right,1.2033529282,719882
4,30,False,left,left,0.8316059113,719882
4,31,True,right,right,0.8520188332,719882
4,32,True,right,left,1.3768618107,719882
4,33,True,right,right,0.7757489681,719882
4,34,False,left,left,0.8004469872,719882
4,35,False,right,right,0.7987160683,719882
4,36,True,right,right,0.9102950096,719882
4,37,False,right,right,0.8006238937,719882
4,38,False,right,right,0.81123209,719882
4,39,True,right,right,0.9924390316,719882
4,40,True,left,left,1.4853899479,719882
4,41,True,right,right,0.9677689075,719882
4,42,False,left,left,0.8813819885,719882
4,43,False,left,left,1.141217947,719882
4,44,False,left,left,1.3771879673,719882
4,45,False,right,right,0.8529129028,719882
4,46,True,right,right,0.9215037823,719882
4,47,True,right,right,1.1681861877,719882
4,48,False,left,left,0.8208298683,719882
4,49,False,left,left,0.9821019173,719882
4,50,False,right,right,0.8887760639,719882
4,51,False,right,right,0.6788671017,719882
4,52,True,left,left,1.1950919628,719882
4,53,True,right,right,0.6857180595,719882
4,54,True,left,left,0.9600720406,719882
4,55,True,right,right,1.0442681313,719882
4,56,False,right,right,0.729129076,719882
4,57,False,left,left,1.1729969978,719882
4,58,True,right,right,0.8447768688,719882
4,59,True,right,right,0.9543139935,719882
4,60,True,left,left,1.0149030685,719882
4,61,True,left,left,1.6779830456,719882
4,62,True,left,right,0.8703558445,719882
4,63,True,left,left,1.0254378319,719882
4,64,True,right,right,0.862651825,719882
4,65,True,right,right,0.7246990204,719882
4,66,False,left,left,0.721765995,719882
4,67,True,right,right,0.782638073,719882
4,68,True,right,right,0.813354969,719882
4,69,False,right,right,0.7414529324,719882
4,70,False,right,right,0.6526219845,719882
4,71,False,left,left,0.6566848755,719882
4,72,True,right,right,0.7891089916,719882
4,73,False,left,left,0.7632408142,719882
4,74,False,right,right,0.706510067,719882
4,75,False,right,right,0.7387630939,719882
4,76,True,right,left,0.9846510887,719882
4,77,False,left,left,0.7238612175,719882
4,78,True,left,left,1.1265070438,719882
4,79,False,left,left,1.220334053,719882
4,80,False,left,left,1.3236677647,719882
4,81,True,left,right,0.9986059666,719882
4,82,False,left,left,0.9580740929,719882
4,83,True,right,right,0.9718489647,719882
4,84,False,left,left,0.8880858421,719882
4,85,True,right,right,0.8512508869,719882
4,86,False,left,left,0.8826849461,719882
4,87,True,left,left,1.029916048,719882
4,88,True,left,left,1.0956149101,719882
4,89,True,right,right,0.8081560135,719882
4,90,True,right,right,0.9604160786,719882
4,91,False,left,left,0.9113512039,719882
4,92,False,left,left,0.9394807816,719882
4,93,True,right,right,1.0071001053,719882
4,94,True,left,left,1.1795461178,719882
4,95,True,left,right,1.1004440784,719882
4,96,False,left,left,0.8718008995,719882
4,97,True,right,right,0.8235049248,719882
4,98,True,right,right,0.9877178669,719882
